작성월	지역코드	지역명	상권코드	상권명	총건물수	1층생활시설수	2층생활시설수	문화집회시설수	종교시설수	판매시설수	의료시설수	아동노인복지시설수	수련시설수	운동시설수	숙박시설수	여가및오락시설수	총가스사용량	상업용가스사용량	총전기사용량
202211	11110	종로구	9171	동대문역_1	135.0	38.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	166393	133467	443.254
202212	11110	종로구	9171	동대문역_1	135.0	38.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	252551	171739	511.661
202301	11110	종로구	9171	동대문역_1	132.0	37.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	365315	226877	707.303
202303	11110	종로구	9171	동대문역_1	132.0	37.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	223235	169099	459.775
202303	11110	종로구	9171	동대문역_1	132.0	37.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	269262	178366	505.089
202303	11110	종로구	9171	동대문역_1	132.0	37.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	175799	142465	427.271
202306	11110	종로구	9171	동대문역_1	132.0	37.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	151943	122754	500.186
202307	11110	종로구	9171	동대문역_1	132.0	37.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	133350	104320	591.199
202308	11110	종로구	9171	동대문역_1	54.0	21.0	6.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	282010	282010	675.932
202309	11110	종로구	9171	동대문역_1	55.0	21.0	6.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	171543	171543	661.873
202311	11110	종로구	9171	동대문역_1	132.0	37.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	161666	132011	451.267
202312	11110	종로구	9171	동대문역_1	132.0	37.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	247845	167889	539.757
202402	11110	종로구	9171	동대문역_1	132.0	37.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	330057	219096	630.999
202403	11110	종로구	9171	동대문역_1	134.0	37.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	308116	199623	522.681
202404	11110	종로구	9171	동대문역_1	134.0	37.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	213892	162711	473.753
202405	11110	종로구	9171	동대문역_1	134.0	37.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	169008	140601	429.712
202406	11110	종로구	9171	동대문역_1	134.0	37.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	158034	128824	491.578
202407	11110	종로구	9171	동대문역_1	135.0	37.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	152574	123656	610.906
